pt,no_reactions
Right ventricular failure,25
Road traffic accident,458
Root canal infection,12
Rosacea,47
Rotator cuff repair,39
Rotator cuff syndrome,136
Rubber sensitivity,23
Ruptured cerebral aneurysm,8
SARS-CoV-2 test negative,12
SARS-CoV-2 test positive,282
SLE arthritis,13
Saccadic eye movement,9
Sacral pain,15
Sacroiliitis,22
Saliva altered,7
Salivary gland calculus,4
Salivary gland disorder,2
Salivary gland enlargement,3
Salivary gland mass,2
Salivary gland neoplasm,7
Salivary hypersecretion,112
Salmonella bacteraemia,4
Salpingectomy,6
Sarcoidosis,34
Sarcoma,5
Sarcoma metastatic,1
Scar,65
Scar excision,1
Scarlet fever,2
Schizophrenia,242
Sciatic nerve injury,7
Sciatic nerve neuropathy,5
Sciatica,118
Scleritis,7
Scleroderma,15
Scoliosis,22
Scratch,35
Screaming,16
Scrotal abscess,6
Scrotal pain,4
Scrotal swelling,2
Seasonal allergy,281
Seborrhoeic dermatitis,25
Second primary malignancy,22
Secondary adrenocortical insufficiency,15
Secondary hypertension,14
Secretion discharge,59
Sedation,1427
Sedation complication,324
Seizure,2931
Seizure like phenomena,35
Selective eating disorder,15
Self-injurious ideation,112
Self-medication,38
Senile dementia,9
Sensitive skin,43
Sensitivity of teeth,8
Sensitivity to weather change,36
Sensory disturbance,90
Sensory level abnormal,3
Sensory loss,100
Sepsis,901
Sepsis syndrome,6
Septic shock,191
Serotonin syndrome,3465
Serum ferritin increased,11
Serum sickness,20
Serum sickness-like reaction,22
Severe invasive streptococcal infection,1
Sexual abuse,8
Sexual dysfunction,430
Shock,98
Shock haemorrhagic,78
Shoulder arthroplasty,47
Shoulder operation,111
Shunt occlusion,1
Sickle cell anaemia,3
Sickle cell anaemia with crisis,111
Sinus arrest,6
Sinus bradycardia,132
Sinus congestion,70
Sinus disorder,176
Sinus headache,39
Sinus node dysfunction,29
Sinus operation,60
Sinus pain,14
Sinus polyp,5
Sinus tachycardia,132
Sinusitis,1885
Sinusitis bacterial,15
Sinusitis fungal,8
Sitting disability,5
Sjogren's syndrome,51
Skeletal injury,13
Skin abrasion,24
Skin atrophy,15
Skin burning sensation,157
Skin cancer,239
Skin candida,20
Skin discolouration,205
Skin disorder,138
Skin exfoliation,282
Skin fissures,69
Skin haemorrhage,44
Skin infection,109
Skin irritation,74
Skin laceration,132
Skin lesion,146
Skin mass,28
Skin necrosis,29
Skin neoplasm excision,9
Skin odour abnormal,40
Skin oedema,3
Skin papilloma,24
Skin reaction,85
Skin sensitisation,4
Skin striae,10
Skin swelling,27
Skin tightness,7
Skin toxicity,14
Skin ulcer,156
Skin warm,20
Skin weeping,11
Skin wrinkling,13
Sleep apnoea syndrome,1070
Sleep disorder,770
Sleep disorder due to a general medical condition,148
Sleep terror,130
Slow speech,27
Sluggishness,61
Small cell carcinoma,1
Small fibre neuropathy,20
Small for dates baby,173
Small intestinal haemorrhage,17
Small intestinal obstruction,219
Small intestinal stenosis,3
Sneezing,63
Snoring,60
Sodium retention,2
Soft tissue inflammation,7
Soft tissue injury,6
Solar lentigo,5
Somatic symptom disorder,32
Somnambulism,140
Somnolence,2728
Sopor,761
Spasmodic dysphonia,40
Speech disorder,352
Sphincter of Oddi dysfunction,5
Spinal column stenosis,17
Spinal compression fracture,65
Spinal cord abscess,3
Spinal cord compression,32
Spinal cord disorder,10
Spinal cord haemorrhage,5
Spinal cord infection,8
Spinal cord injury,13
Spinal cord neoplasm,9
Spinal decompression,9
Spinal deformity,9
Spinal disorder,89
Spinal fracture,144
Spinal fusion surgery,88
Spinal operation,326
Spinal osteoarthritis,54
Spinal pain,59
Spinal stenosis,51
Spleen disorder,8
Splenectomy,5
Splenic infarction,11
Splenic thrombosis,3
Splenomegaly,32
Spondylitis,25
Spondylolisthesis,14
Spontaneous bacterial peritonitis,3
Spontaneous haemorrhage,8
Sprue-like enteropathy,19
Sputum abnormal,3
Sputum discoloured,45
Sputum increased,5
Squamous cell carcinoma,193
Squamous cell carcinoma of head and neck,5
Squamous cell carcinoma of skin,116
Squamous cell carcinoma of the oral cavity,10
Squamous cell carcinoma of the vulva,3
Staphylococcal abscess,3
Staphylococcal bacteraemia,34
Staphylococcal infection,313
Staphylococcal osteomyelitis,1
Staphylococcal sepsis,33
Stasis syndrome,1
Status epilepticus,243
Status migrainosus,16
Stem cell transplant,21
Stenosis,6
Stenotrophomonas infection,3
Stent placement,40
Sternal fracture,7
Steroid diabetes,9
Stevens-Johnson syndrome,313
Stiff person syndrome,57
Still's disease,1
Stoma complication,21
Stoma creation,5
Stoma obstruction,7
Stoma site abscess,10
Stoma site discharge,34
Stoma site hypergranulation,11
Stoma site induration,4
Stoma site infection,30
Stoma site inflammation,3
Stomatitis,335
Strabismus,12
Streptococcal bronchitis,2
Streptococcal sepsis,19
Stress,534
Stress cardiomyopathy,196
Stress fracture,26
Stridor,6
Stupor,31
Subacute cutaneous lupus erythematosus,59
Subarachnoid haemorrhage,195
Subcapsular renal haematoma,1
Subclavian artery embolism,2
Subclavian vein thrombosis,3
Subcutaneous abscess,26
Subcutaneous haematoma,11
Subdural haematoma,353
Subdural haemorrhage,32
Subileus,20
Substance abuse,340
Substance use,47
Substance-induced psychotic disorder,71
Sudden cardiac death,123
Sudden death,355
Sudden hearing loss,25
Sudden onset of sleep,18
Suicidal behaviour,169
Suicidal ideation,3174
Suicide attempt,2118
Sunburn,46
Superficial injury of eye,10
Superficial spreading melanoma stage unspecified,7
Superficial vein prominence,1
Superinfection,6
Supportive care,1
Supranuclear palsy,1
Supraventricular tachycardia,129
Surgery,1457
Suspected COVID-19,48
Suspected counterfeit product,13
Suspected product quality issue,18
Suspected suicide,1377
Suspected suicide attempt,20
Suture related complication,5
Sweat gland disorder,3
Swelling,399
Swelling face,525
Swollen tongue,633
Symptom recurrence,104
Syncope,1048
Syndesmophyte,3
Synovial cyst,38
Synovial fluid analysis,3
Synovitis,53
Syphilis,14
Syringe issue,31
Syringomyelia,3
Systemic infection,44
Systemic inflammatory response syndrome,31
Systemic lupus erythematosus,236
Systemic mastocytosis,2
Tachycardia,693
Tachypnoea,70
Talipes,49
Tardive dyskinesia,678
Taste disorder,202
Teeth brittle,9
Telangiectasia,23
Telangiectasia congenital,2
Temperature intolerance,47
Temporal arteritis,21
Temporomandibular joint syndrome,43
Tenderness,66
Tendon disorder,38
Tendon injury,13
Tendon pain,33
Tendon rupture,140
Tendonitis,102
Tenosynovitis,7
Tension,40
Tension headache,42
Terminal insomnia,47
Terminal state,41
Testicular infarction,1
Testicular mass,1
Testicular pain,27
Testicular seminoma (pure) stage I,3
Thalamic infarction,4
Thalamus haemorrhage,10
Therapeutic agent urine positive,4
Therapeutic drug monitoring analysis not performed,14
Therapeutic procedure,29
Therapeutic product effect decreased,587
Therapeutic product effect delayed,48
Therapeutic product effect incomplete,1193
Therapeutic product effect variable,85
Therapeutic product ineffective,33
Therapeutic reaction time decreased,75
Therapeutic response changed,45
Therapeutic response decreased,454
Therapeutic response shortened,276
Therapeutic response unexpected,411
Therapy cessation,372
Therapy change,77
Therapy interrupted,665
Therapy non-responder,1063
Therapy partial responder,148
Thermal burn,161
Thinking abnormal,187
Thirst,125
Thoracic haemorrhage,4
Thoracic vertebral fracture,31
Throat cancer,29
Throat irritation,207
Throat tightness,172
Thrombectomy,1
Thrombocytopenia,996
Thrombocytopenic purpura,22
Thrombocytosis,26
Thrombophlebitis,65
Thrombosis,825
Thrombotic microangiopathy,47
Thrombotic stroke,12
Thrombotic thrombocytopenic purpura,13
Thyroid cancer,89
Thyroid cyst,5
Thyroid disorder,96
Thyroid function test abnormal,36
Thyroid hormones increased,16
Thyroid mass,50
Thyroid operation,10
Thyroidectomy,13
Thyroiditis,87
Tibia fracture,23
Tinea versicolour,4
Tinnitus,718
Toe amputation,18
Tongue blistering,25
Tongue coated,6
Tongue discolouration,33
Tongue discomfort,87
Tongue disorder,52
Tongue exfoliation,2
Tongue movement disturbance,22
Tongue neoplasm malignant stage unspecified,12
Tongue oedema,28
Tongue ulceration,22
Tonsillar disorder,4
Tonsillectomy,13
Tonsillitis,62
Tooth abscess,124
Tooth deposit,2
Tooth disorder,283
Tooth erosion,11
Tooth extraction,84
Tooth fracture,86
Tooth impacted,9
Tooth infection,171
Tooth injury,27
Tooth loss,77
Tooth repair,5
Toothache,95
Torsade de pointes,150
Total lung capacity decreased,4
Toxic encephalopathy,80
Toxic epidermal necrolysis,749
Toxic skin eruption,168
Toxicity to various agents,6972
Tracheal disorder,7
Tracheal obstruction,8
Tracheo-oesophageal fistula,1
Tracheostomy,13
Transaminases increased,199
Transferrin decreased,1
Transformation to acute myeloid leukaemia,14
Transfusion,51
Transfusion reaction,3
Transient ischaemic attack,367
Transitional cell carcinoma,24
Transplant dysfunction,4
Transplant rejection,22
Traumatic haemorrhage,4
Treatment delayed,14
Treatment failure,1390
Treatment noncompliance,465
Tremor,1680
Tri-iodothyronine abnormal,3
Tricuspid valve disease,2
Tricuspid valve incompetence,35
Trigeminal neuralgia,66
Trigger finger,61
Triple negative breast cancer,6
Trismus,102
Troponin I increased,13
Troponin increased,66
Tuberculin test positive,15
Tuberculosis,81
Tuberculous pleurisy,5
Tubulointerstitial nephritis,187
Tubulointerstitial nephritis and uveitis syndrome,16
Tumour associated fever,15
Tumour excision,10
Tumour flare,14
Tumour haemorrhage,22
Tumour lysis syndrome,33
Tunnel vision,38
Tympanic membrane disorder,2
Tympanic membrane perforation,11
Type 1 diabetes mellitus,36
Type 2 diabetes mellitus,364
Type I hypersensitivity,16
Type II hypersensitivity,1
Type III immune complex mediated reaction,3
Type IV hypersensitivity reaction,26
Ulcer,72
Ulcer haemorrhage,66
Ulcerative keratitis,17
Umbilical hernia,57
Underdose,400
Unevaluable event,706
Unintentional medical device removal,46
Unintentional use for unapproved indication,6
Unmasking of previously unidentified disease,11
Unresponsive to stimuli,216
Upper gastrointestinal haemorrhage,519
Upper limb fracture,177
Upper respiratory tract congestion,12
Upper respiratory tract infection,642
Upper-airway cough syndrome,59
Ureterolithiasis,16
Urinary bladder rupture,7
Urinary casts,1
Urinary hesitation,235
Urinary incontinence,347
Urinary retention,805
Urinary tract discomfort,4
Urinary tract disorder,40
Urinary tract infection,2282
Urinary tract infection bacterial,31
Urinary tract obstruction,17
Urine abnormality,16
Urine alcohol test positive,2
Urine amphetamine positive,23
Urine analysis abnormal,30
Urine leukocyte esterase positive,7
Urine odour abnormal,53
Urine osmolarity decreased,1
Urogenital haemorrhage,1
Urosepsis,104
Urticaria,1208
Use of accessory respiratory muscles,2
Uterine cancer,60
Uterine cyst,2
Uterine disorder,52
Uterine haemorrhage,65
Uterine leiomyoma,48
Uterine mass,4
Uterine operation,3
Uterine polyp,13
Uterine prolapse,11
Uveitis,107
VIIth nerve paralysis,16
Vaccination complication,10
Vaginal cancer,5
Vaginal cancer metastatic,2
Vaginal discharge,55
Vaginal fistula,5
Vaginal haemorrhage,319
Vaginal infection,41
Vaginal inflammation,1
Vaginal operation,3
Variant Creutzfeldt-Jakob disease,2
Varicella,12
Varicophlebitis,4
Varicose vein,30
Vascular access site complication,16
Vascular access site infection,7
Vascular device infection,87
Vascular device occlusion,4
Vascular graft,18
Vascular neoplasm,4
Vascular pain,7
Vascular rupture,6
Vascular stent stenosis,1
Vasculitic rash,44
Vasculitis,79
Vasculitis necrotising,12
Vasospasm,8
Vein collapse,8
Vein disorder,28
Vein rupture,22
Venoocclusive liver disease,17
Venous oxygen partial pressure increased,5
Venous stenosis,1
Venous thrombosis,43
Venous thrombosis limb,18
Ventricular arrhythmia,56
Ventricular extrasystoles,116
Ventricular fibrillation,63
Ventricular tachycardia,130
Ventriculo-peritoneal shunt,1
Vertebral artery dissection,5
Vertigo,484
Vestibular migraine,3
Victim of crime,7
Viraemia,2
Viral infection,227
Viral rash,4
Viral upper respiratory tract infection,28
Virologic failure,5
Vision blurred,852
Visual acuity reduced,123
Visual field defect,22
Visual impairment,588
Vitamin A deficiency,8
Vitamin B12 decreased,29
Vitamin B12 deficiency,29
Vitamin D decreased,75
Vitamin D deficiency,50
Vitiligo,17
Vitreous adhesions,2
Vitreous detachment,42
Vitreous floaters,54
Vitreous haemorrhage,35
Vitritis,5
Vocal cord disorder,13
Vocal cord dysfunction,5
Vocal cord inflammation,2
Volvulus,47
Vomiting,2145
Vulval abscess,12
Vulval cancer stage 0,5
Vulvitis,2
Vulvovaginal burning sensation,46
Vulvovaginal candidiasis,8
Vulvovaginal discomfort,16
Vulvovaginal dryness,14
Vulvovaginal mycotic infection,41
Vulvovaginal pain,10
Vulvovaginal pruritus,16
Waldenstrom's macroglobulinaemia,7
Walking aid user,23
Walking disability,11
Weight abnormal,12
Weight bearing difficulty,10
Weight decreased,1437
Weight fluctuation,102
Weight increased,2518
Weight loss poor,27
Wernicke's encephalopathy,7
Wheelchair user,25
Wheezing,432
Whipple's disease,2
White blood cell count abnormal,52
White blood cell count decreased,721
White blood cell count increased,127
White blood cell disorder,13
White matter lesion,215
Wisdom teeth removal,27
Withdrawal catatonia,14
Withdrawal syndrome,889
Wound,186
Wound complication,67
Wound dehiscence,19
Wound haemorrhage,18
Wound infection,62
Wound infection staphylococcal,13
Wound secretion,10
Wrist deformity,5
Wrist fracture,144
Wrist surgery,21
Wrong dosage form,2
Wrong patient received product,57
Wrong product administered,79
Wrong technique in device usage process,51
Wrong technique in drug usage process,45
Wrong technique in product usage process,758
Xeroderma,2
Yawning,58
Acute promyelocytic leukaemia,20
Corneal opacity,3
Diabetic ketosis,13
Gastrointestinal necrosis,13
Lung carcinoma cell type unspecified stage IV,24
Meige's syndrome,16
Oral mucosa erosion,6
Pharyngeal cancer,2
Pneumonia haemophilus,20
Putamen haemorrhage,3
Spinocerebellar disorder,7
Tonic convulsion,33
Vertigo positional,16
Abdominal hernia repair,20
Abdominal lymphadenopathy,45
Abdominal panniculectomy,2
Abdominal strangulated hernia,4
Abdominal wall disorder,15
Abdominal wall infection,8
Abdominal wall operation,5
Abdominal wound dehiscence,10
Abnormal clotting factor,6
Abnormal uterine bleeding,21
Abnormal withdrawal bleeding,12
Abscess intestinal,77
Abscess rupture,18
Abstains from alcohol,2
Acanthosis,4
Acanthosis nigricans,46
Accelerated idioventricular rhythm,2
Accessory spleen,2
Accidental exposure to product packaging,3
Acetabulum fracture,111
Achlorhydria,3
Acquired hydrocele,8
Actinic elastosis,15
Activation syndrome,149
Acute cardiac event,8
Acute macular neuroretinopathy,4
Acute stress disorder,45
Adenocarcinoma of appendix,5
Adenosquamous carcinoma of the cervix,2
Adenoviral encephalitis,3
Adjacent segment degeneration,3
Administration site discolouration,8
Administration site erythema,21
Administration site extravasation,43
Administration site haemorrhage,4
Administration site laceration,1
Administration site pruritus,7
Administration site rash,7
Administration site scar,5
Adnexal torsion,16
Adrenalectomy,3
Adrenergic syndrome,26
Afterbirth pain,4
Airway complication of anaesthesia,26
Airway peak pressure increased,5
Albumin globulin ratio increased,3
Alcohol detoxification,5
Alcohol induced persisting dementia,1
Alcohol intolerance,46
Alcohol test false positive,10
Alcohol use disorder,34
Alcoholic,31
Alcoholic hangover,6
Alcoholic pancreatitis,15
Aldolase increased,6
Alice in wonderland syndrome,34
Alkalosis,8
Allergic bronchitis,7
Allergic colitis,5
Allergic eosinophilia,1
Allergic gastroenteritis,2
Allergic respiratory symptom,17
Allergy to plants,45
Alpha-1 anti-trypsin increased,1
Alpha-1 antitrypsin deficiency,1
Alveolar osteitis,27
Amaurosis,69
Amblyopia,18
Amniotic cavity infection,83
Amputation of penis,2
Amusia,1
Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits,30
Anaemia of pregnancy,17
Anal atresia,66
Anal cancer,27
Anal prolapse,6
Anal ulcer,9
Analgesic drug level below therapeutic,3
Anastomotic leak,6
Anastomotic ulcer haemorrhage,13
Androgenetic alopecia,7
Androgens decreased,6
Anencephaly,109
Angiofibroma,8
Angiogram cerebral,4
Angioplasty,43
Anomalous pulmonary venous connection,100
Anorectal operation,14
Anterior chamber cell,8
Anterior chamber inflammation,6
