pt,no_events_global
Catheter site erythema,583
Catheter site exfoliation,3
Catheter site extravasation,206
Catheter site fibrosis,4
Catheter site granuloma,23
Catheter site haematoma,81
Catheter site haemorrhage,756
Catheter site hypersensitivity,11
Catheter site hypertrophy,2
Catheter site hypoaesthesia,2
Catheter site induration,9
Catheter site infection,1257
Catheter site inflammation,129
Catheter site injury,62
Catheter site irritation,44
Catheter site ischaemia,1
Catheter site macule,2
Catheter site mass,27
Catheter site necrosis,8
Catheter site nodule,16
Catheter site oedema,9
Catheter site pain,518
Catheter site papule,5
Catheter site paraesthesia,1
Catheter site phlebitis,12
Catheter site pruritus,125
Catheter site pustule,1
Catheter site rash,76
Catheter site related reaction,120
Catheter site scab,17
Catheter site scar,16
Catheter site swelling,129
Catheter site thrombosis,119
Catheter site ulcer,6
Catheter site urticaria,5
Catheter site vasculitis,2
Catheter site vesicles,42
Catheter site warmth,9
Cat scratch disease,117
Cauda equina syndrome,245
Caudal regression syndrome,42
Cautery to nose,25
Cavernous sinus syndrome,9
Cavernous sinus thrombosis,84
Cavopulmonary anastomosis,4
CCR5 receptor positive,2
CD19 antigen loss,2
CD19 lymphocyte count abnormal,3
CD19 lymphocytes decreased,17
CD19 lymphocytes increased,5
CD30 expression,31
CD34 cell count decreased,4
CD4/CD8 ratio decreased,19
CD4/CD8 ratio increased,5
CD4 lymphocyte percentage decreased,12
CD4 lymphocytes abnormal,101
CD4 lymphocytes decreased,749
CD4 lymphocytes increased,42
CD8 lymphocyte percentage decreased,2
CD8 lymphocyte percentage increased,1
CD8 lymphocytes abnormal,4
CD8 lymphocytes decreased,20
CD8 lymphocytes increased,7
CDKL5 deficiency disorder,1
Cell death,825
Cell-free and concentrated ascites reinfusion therapy,1
Cell marker,2
Cell marker decreased,16
Cell marker increased,254
Cell-mediated cytotoxicity,26
Cell-mediated immune deficiency,42
Cells in urine,8
Cellulite,77
Cellulitis,20449
Cellulitis enterococcal,9
Cellulitis gangrenous,82
Cellulitis of male external genital organ,56
Cellulitis orbital,210
Cellulitis pasteurella,2
Cellulitis pharyngeal,11
Cellulitis staphylococcal,216
Cellulitis streptococcal,44
Cement embolism,2
Cemento osseous dysplasia,2
Cementoplasty,19
Central-alveolar hypoventilation,13
Central auditory processing disorder,10
Central cord syndrome,10
Central hypothyroidism,79
Central nervous system abscess,13
Central nervous system dermoid tumour,3
Central nervous system enteroviral infection,11
Central nervous system function test abnormal,10
Central nervous system fungal infection,80
Central nervous system haemorrhage,247
Central nervous system immune reconstitution inflammatory response,28
Central nervous system infection,378
Central nervous system inflammation,108
Central nervous system injury,24
Central nervous system lesion,5897
Central nervous system leukaemia,116
Central nervous system lupus,75
Central nervous system lymphoma,593
Central nervous system mass,18
Central nervous system melanoma,9
Central nervous system necrosis,85
Central nervous system neoplasm,51
Central nervous system neuroblastoma,3
Central nervous system stimulation,57
Central nervous system vasculitis,224
Central nervous system viral infection,29
Central obesity,122
Central pain syndrome,45
Central serous chorioretinopathy,141
Central sleep apnoea syndrome,61
Central venous catheterisation,1254
Central venous catheter removal,199
Central venous pressure abnormal,1
Central venous pressure decreased,3
Central venous pressure increased,9
Central vision loss,82
Cephalhaematoma,33
Cephalin flocculation abnormal,2
Cephalo-pelvic disproportion,90
Cerebellar artery occlusion,9
Cerebellar artery thrombosis,7
Cerebellar ataxia,377
Cerebellar atrophy,325
Cerebellar calcification,5
Cerebellar cognitive affective syndrome,1
Cerebellar dysplasia,8
Cerebellar embolism,13
Cerebellar haemangioma,14
Cerebellar haematoma,160
Cerebellar haemorrhage,764
Cerebellar hypoplasia,48
Cerebellar infarction,579
Cerebellar ischaemia,72
Cerebellar microhaemorrhage,7
Cerebellar mutism,2
Cerebellar stroke,154
Cerebellar syndrome,606
Cerebellar tonsillar ectopia,1
Cerebellar tumour,38
Cerebellopontine angle tumour,11
Cerebral amyloid angiopathy,139
Cerebral aneurysm perforation,6
Cerebral arteriosclerosis,65
Cerebral arteriovenous malformation haemorrhagic,16
Cerebral arteritis,9
Cerebral artery embolism,444
Cerebral artery occlusion,327
Cerebral artery perforation,6
Cerebral artery restenosis,2
Cerebral artery stenosis,96
Cerebral artery stent insertion,6
Cerebral artery thrombosis,128
Cerebral aspergillosis,168
Cerebral ataxia,13
Cerebral atrophy,607
Cerebral atrophy congenital,9
Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,8
Cerebral calcification,76
Cerebral capillary telangiectasia,1
Cerebral cavernous malformation,13
Cerebral circulatory failure,24
Cerebral congestion,38
Cerebral cyst,200
Cerebral cyst excision,1
Cerebral cyst haemorrhage,3
Cerebral decompression,1
Cerebral disorder,2693
Cerebral dysgenesis,18
Cerebral endovascular aneurysm repair,5
Cerebral fungal infection,83
Cerebral gas embolism,6
Cerebral haemangioma,45
Cerebral haematoma,1536
Cerebral haemorrhage,17434
Cerebral haemorrhage foetal,5
Cerebral haemorrhage neonatal,74
Cerebral haemosiderin deposition,7
Cerebral hygroma,6
Cerebral hyperperfusion syndrome,37
Cerebral hypoperfusion,70
Cerebral infarction,10643
Cerebral infarction foetal,4
Cerebral ischaemia,1268
Cerebral lobotomy,6
Cerebral malaria,8
Cerebral mass effect,45
Cerebral microangiopathy,45
Cerebral microembolism,6
Cerebral microhaemorrhage,109
Cerebral microinfarction,12
Cerebral nocardiosis,30
Cerebral palsy,301
Cerebral radiation injury,5
Cerebral reperfusion injury,14
Cerebral revascularisation,2
Cerebral salt-wasting syndrome,53
Cerebral sarcoidosis,4
Cerebral small vessel ischaemic disease,79
Cerebral thrombosis,924
Cerebral toxoplasmosis,334
Cerebral vascular occlusion,53
Cerebral vasoconstriction,250
Cerebral vasodilatation,3
Cerebral venous sinus thrombosis,339
Cerebral venous thrombosis,848
Cerebral ventricle collapse,15
Cerebral ventricle dilatation,213
Cerebral ventricular rupture,44
Cerebrohepatorenal syndrome,2
Cerebrosclerosis,8
Cerebrospinal fistula,38
Cerebrospinal fluid circulation disorder,29
Cerebrospinal fluid drainage,6
Cerebrospinal fluid leakage,906
Cerebrospinal fluid reservoir placement,22
Cerebrospinal fluid retention,21
Cerebrovascular accident,66640
Cerebrovascular accident prophylaxis,1
Cerebrovascular arteriovenous malformation,13
Cerebrovascular disorder,590
Cerebrovascular insufficiency,56
Cerebrovascular operation,2
Cerebrovascular pseudoaneurysm,2
Cerebrovascular stenosis,36
Ceruloplasmin decreased,3
Ceruloplasmin increased,1
Cerumen impaction,82
Cerumen removal,12
Cervical conisation,36
Cervical cord compression,147
Cervical cyst,61
Cervical dilatation,63
Cervical discharge,14
Cervical dysplasia,790
Cervical friability,3
Cervical incompetence,274
Cervical laser therapy,1
Cervical myelopathy,54
Cervical neuritis,1
Cervical plexus lesion,1
Cervical polyp,116
Cervical radiculopathy,192
Cervical spinal cord paralysis,7
Cervical spinal stenosis,497
Cervical spine flattening,2
Cervical vertebral fracture,1264
Cervicectomy,8
Cervicitis,80
Cervicitis gonococcal,1
Cervicitis human papilloma virus,6
Cervicobrachial syndrome,82
Cervicogenic headache,34
Cervicogenic vertigo,3
Cervix adenomatous polyp,2
Cervix cancer metastatic,41
Cervix carcinoma,2161
Cervix carcinoma recurrent,67
Cervix carcinoma stage 0,121
Cervix carcinoma stage I,96
Cervix carcinoma stage II,65
Cervix carcinoma stage III,64
Cervix carcinoma stage IV,72
Cervix cautery,2
Cervix cerclage procedure,43
Cervix disorder,256
Cervix dystocia,49
Cervix enlargement,9
Cervix haematoma uterine,1
Cervix haemorrhage uterine,70
Cervix inflammation,26
Cervix injury,27
Cervix neoplasm,45
Cervix oedema,11
Cervix operation,18
Cervix scarring,3
Cervix warts,2
Cestode infection,15
CFTR gene mutation,3
CHA2DS2-VASc annual stroke risk high,7
Chagas' cardiomyopathy,2
Chalazion,213
Chance fracture,2
Change in seizure presentation,326
Change in sustained attention,62
Change of bowel habit,449
CHANTER syndrome,3
Chapped lips,1355
CHARGE syndrome,5
Charles Bonnet syndrome,41
Checkpoint kinase 2 gene mutation,2
Cheilitis,1457
Cheilitis granulomatosa,7
Cheilosis,6
Chelation therapy,3
Chemical burn,571
Chemical burn of gastrointestinal tract,72
Chemical burn of genitalia,33
Chemical burn of oral cavity,22
Chemical burn of respiratory tract,16
Chemical burn of skin,1724
Chemical burns of eye,81
Chemical cystitis,12
Chemical eye injury,21
Chemical injury,191
Chemical peel of skin,14
Chemical peritonitis,93
Chemical phlebitis,6
Chemical poisoning,105
Chemical submission,85
Chemokine increased,4
Chemotherapeutic drug level above therapeutic,10
Chemotherapeutic drug level below therapeutic,2
Chemotherapeutic drug level decreased,5
Chemotherapeutic drug level increased,37
Chemotherapy,1857
Chemotherapy cardiotoxicity attenuation,5
Chemotherapy cytokine prophylaxis,1
Chemotherapy extravasation management,2
Chemotherapy neurotoxicity attenuation,2
Chemotherapy side effect prophylaxis,3
Chemotherapy single agent systemic,1
Chemotherapy toxicity attenuation,18
Chest crushing,11
Chest discomfort,27851
Chest expansion decreased,24
Chest injury,652
Chest pain,43758
Chest scan,2
Chest scan abnormal,6
Chest tube insertion,63
Chest tube removal,2
Chest wall abscess,76
Chest wall cyst,22
Chest wall haematoma,156
Chest wall mass,55
Chest wall necrosis,8
Chest wall operation,6
Chest wall resection,1
Chest wall tumour,41
Chest X-ray,10
Chest X-ray abnormal,535
Cheyne-Stokes respiration,53
Chiasma syndrome,4
Chikungunya virus infection,311
Chilaiditi's syndrome,10
Child abuse,73
Childhood,3
Childhood asthma,7
Childhood depression,3
Childhood disintegrative disorder,3
Childhood psychosis,4
Child maltreatment syndrome,3
Child neglect,66
Child-Pugh-Turcotte score abnormal,6
Child-Pugh-Turcotte score decreased,1
Child-Pugh-Turcotte score increased,23
CHILD syndrome,1
Chillblains,111
Chills,30567
Chimerism,16
Chiropractic,1
Chitotriosidase abnormal,1
Chitotriosidase decreased,2
Chitotriosidase increased,22
Chlamydial cervicitis,2
Chlamydial infection,263
Chlamydial pelvic inflammatory disease,8
Chlamydia test positive,27
Chloasma,156
Chloroma,156
Chloroma (in remission),1
Chloropsia,69
Choanal atresia,20
Choanal stenosis,10
Choking,7127
Choking sensation,1798
Cholangiectasis acquired,2
Cholangiocarcinoma,821
Cholangiolitis,16
Cholangiosarcoma,3
Cholangiostomy,5
Cholangitis,2382
Cholangitis acute,283
Cholangitis chronic,17
Cholangitis infective,93
Cholangitis sclerosing,997
Cholecystectomy,2908
Cholecystitis,3666
Cholecystitis acute,1801
Cholecystitis chronic,417
Cholecystitis infective,880
Cholecystocholangitis,14
Cholecystostomy,10
Choledochal cyst,4
Choledochectomy,1
Choledochoenterostomy,1
Choledocholithotomy,4
Cholelithiasis,6764
Cholelithiasis migration,10
Cholelithiasis obstructive,37
Cholelithotomy,58
Cholera,14
Cholestasis,7067
Cholestasis of pregnancy,264
Cholestatic liver injury,945
Cholestatic pruritus,4
Cholesteatoma,115
Cholesteatoma removal,2
Cholesterin granuloma of middle ear,1
Cholesterol granuloma,4
Cholesterolosis bulbi,2
Cholinergic rebound syndrome,11
Cholinergic syndrome,234
Choluria,65
Chondrectomy,7
Chondritis,84
Chondroblastoma,3
Chondrocalcinosis,125
Chondrocalcinosis pyrophosphate,322
Chondrodermatitis nodularis chronica helicis,1
Chondrodynia,2
Chondrodysplasia punctata,2
Chondrodystrophy,26
Chondrolysis,59
Chondroma,7
Chondromalacia,26
Chondromatosis,10
Chondronecrosis,5
Chondropathy,666
Chondroplasty,12
Chondrosarcoma,76
Chondrosarcoma metastatic,10
Chondrosarcoma recurrent,1
Chondrosis,3
Chordae tendinae rupture,22
Chordee,44
Chordoma,56
Chorea,495
Choreoathetosis,227
Chorioamniotic separation,5
Choriocarcinoma,27
Choriomeningitis lymphocytic,17
Chorioretinal atrophy,133
Chorioretinal disorder,62
Chorioretinal folds,32
Chorioretinal scar,30
Chorioretinitis,247
Chorioretinopathy,895
Choroidal coloboma,9
Choroidal detachment,236
Choroidal dystrophy,11
Choroidal effusion,242
Choroidal haemangioma,4
Choroidal haematoma,3
Choroidal haemorrhage,73
Choroidal infarction,67
Choroidal neovascularisation,310
Choroidal rupture,6
Choroidal sclerosis,3
Choroid fissure cyst,1
Choroiditis,165
Choroid melanoma,56
Choroid neoplasm,3
Choroid plexus carcinoma,6
Choroid tubercles,2
Chromatopsia,183
Chromaturia,5878
Chromoblastomycosis,40
Chromophobe renal cell carcinoma,21
Chromosomal deletion,63
Chromosomal microduplication,2
Chromosomal mutation,17
Chromosome analysis abnormal,43
Chromosome analysis normal,1
Chromosome banding abnormal,2
Chromosome mapping abnormal,1
Chronic actinic dermatitis,15
Chronic active Epstein-Barr virus infection,12
Chronic allograft nephropathy,210
Chronic cheek biting,11
Chronic coronary syndrome,3
Chronic cutaneous lupus erythematosus,185
Chronic disease,84
Chronic eosinophilic leukaemia,6
Chronic eosinophilic rhinosinusitis,10
Chronic fatigue syndrome,251
Chronic gastritis,716
Chronic gastrointestinal bleeding,169
Chronic graft versus host disease,955
Chronic graft versus host disease in eye,46
Chronic graft versus host disease in intestine,37
Chronic graft versus host disease in liver,90
Chronic graft versus host disease in lung,20
Chronic graft versus host disease in skin,225
Chronic graft versus host disease oral,36
Chronic granulomatous disease,17
Chronic hepatic failure,224
Chronic hepatitis,243
Chronic hepatitis B,145
Chronic hepatitis C,182
Chronic idiopathic pain syndrome,13
Chronic infantile neurological cutaneous and articular syndrome,5
Chronic inflammatory demyelinating polyradiculoneuropathy,624
Chronic inflammatory response syndrome,5
Chronic kidney disease,59542
Chronic kidney disease-mineral and bone disorder,82
Chronic left ventricular failure,46
Chronic leukaemia,69
Chronic leukaemia in remission,1
Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids,8
Chronic lymphocytic leukaemia,2021
Chronic lymphocytic leukaemia (in remission),5
Chronic lymphocytic leukaemia recurrent,350
Chronic lymphocytic leukaemia refractory,47
Chronic lymphocytic leukaemia stage 0,17
Chronic lymphocytic leukaemia stage 1,11
Chronic lymphocytic leukaemia stage 2,4
Chronic lymphocytic leukaemia stage 3,4
Chronic lymphocytic leukaemia stage 4,6
Chronic lymphocytic leukaemia transformation,60
Chronic myeloid leukaemia,1945
Chronic myeloid leukaemia (in remission),10
Chronic myeloid leukaemia recurrent,249
Chronic myeloid leukaemia transformation,167
Chronic myelomonocytic leukaemia,305
Chronic myelomonocytic leukaemia (in remission),1
Chronic myocarditis,3
Chronic obstructive pulmonary disease,16561
Chronic papillomatous dermatitis,39
Chronic paroxysmal hemicrania,2
Chronic pigmented purpura,107
Chronic pulmonary histoplasmosis,4
Chronic recurrent multifocal osteomyelitis,42
Chronic respiratory disease,96
Chronic respiratory failure,267
Chronic rhinosinusitis with nasal polyps,17
Chronic rhinosinusitis without nasal polyps,2
Chronic right ventricular failure,5
Chronic sinusitis,716
Chronic spontaneous urticaria,210
Chronic throat clearing,28
Chronic tic disorder,13
Chronic tonsillitis,52
Chronic traumatic encephalopathy,1
Chronic villitis of unknown etiology,12
Chronotropic incompetence,30
Chvostek's sign,13
Chylothorax,327
Chyluria,1
Ciliary body disorder,5
Ciliary body haemorrhage,3
Ciliary body melanoma,6
Ciliary body operation,4
Ciliary hyperaemia,31
Ciliary muscle spasm,17
Ciliary zonular dehiscence,5
Cinchonism,15
Circadian rhythm sleep disorder,190
Circulating anticoagulant,3
Circulating anticoagulant positive,5
Circulating tumour cell count,1
